"","xMin","xMax","yMin","yMax","shotPercentage"
"256",-170,-160,150,160,41.6666666666667
"257",-170,-160,160,170,50
"258",-170,-160,170,180,35.8974358974359
"259",-170,-160,180,190,34.2175066312997
"260",-170,-160,190,200,36.6822429906542
"261",-170,-160,200,210,37.8640776699029
"262",-170,-160,210,220,31.7647058823529
"263",-170,-160,220,230,46.8354430379747
"264",-170,-160,230,240,40
"265",-170,-160,240,250,35.7142857142857
"266",-170,-160,250,260,18.75
"267",-170,-160,260,270,50
"268",-170,-160,270,280,50
"269",-170,-160,280,290,0
"270",-170,-160,290,300,0
"271",-160,-150,0,10,25.4545454545455
"272",-160,-150,10,20,47.5
"273",-160,-150,20,30,38.0952380952381
"274",-160,-150,30,40,31.8181818181818
"275",-160,-150,40,50,33.3333333333333
"276",-160,-150,50,60,44.6428571428571
"277",-160,-150,60,70,55.8139534883721
"278",-160,-150,70,80,32.5
"279",-160,-150,80,90,51.6129032258064
"280",-160,-150,90,100,38.7096774193548
"281",-160,-150,100,110,33.3333333333333
"282",-160,-150,110,120,32.5581395348837
"283",-160,-150,120,130,24.4444444444444
"284",-160,-150,130,140,45.6521739130435
"285",-160,-150,140,150,31.4285714285714
"286",-160,-150,150,160,28.5714285714286
"287",-160,-150,160,170,52.6315789473684
"288",-160,-150,170,180,33.3333333333333
"289",-160,-150,180,190,31.25
"290",-160,-150,190,200,40.2912621359223
"291",-160,-150,200,210,39.5491803278689
"292",-160,-150,210,220,37.7551020408163
"293",-160,-150,220,230,27.6119402985075
"294",-160,-150,230,240,34.2465753424658
"295",-160,-150,240,250,36.6666666666667
"296",-160,-150,250,260,20.8333333333333
"297",-160,-150,260,270,20
"298",-160,-150,270,280,0
"299",-160,-150,280,290,0
"300",-160,-150,290,300,0
"301",-150,-140,0,10,41.25
"302",-150,-140,10,20,29.1139240506329
"303",-150,-140,20,30,54.2857142857143
"304",-150,-140,30,40,36.9230769230769
"305",-150,-140,40,50,46.031746031746
"306",-150,-140,50,60,38.5964912280702
"307",-150,-140,60,70,46.1538461538462
"308",-150,-140,70,80,41.1764705882353
"309",-150,-140,80,90,33.3333333333333
"310",-150,-140,90,100,40.9090909090909
"311",-150,-140,100,110,44.7368421052632
"312",-150,-140,110,120,47.5409836065574
"313",-150,-140,120,130,45
"314",-150,-140,130,140,35.7142857142857
"315",-150,-140,140,150,36.8421052631579
"316",-150,-140,150,160,37.9310344827586
"317",-150,-140,160,170,47.3684210526316
"318",-150,-140,170,180,21.0526315789474
"319",-150,-140,180,190,23.0769230769231
"320",-150,-140,190,200,31.6455696202532
"321",-150,-140,200,210,38.1852551984877
"322",-150,-140,210,220,36.8627450980392
"323",-150,-140,220,230,35.8208955223881
"324",-150,-140,230,240,40.5797101449275
"325",-150,-140,240,250,27.8688524590164
"326",-150,-140,250,260,24.3243243243243
"327",-150,-140,260,270,11.1111111111111
"328",-150,-140,270,280,25
"329",-150,-140,280,290,40
"330",-150,-140,290,300,0
"331",-140,-130,0,10,35.4166666666667
"332",-140,-130,10,20,47.3118279569892
"333",-140,-130,20,30,38.4615384615385
"334",-140,-130,30,40,41.2698412698413
"335",-140,-130,40,50,41.2698412698413
"336",-140,-130,50,60,43.2835820895522
"337",-140,-130,60,70,42.1875
"338",-140,-130,70,80,45.3125
"339",-140,-130,80,90,45.3125
"340",-140,-130,90,100,33.3333333333333
"341",-140,-130,100,110,53.1914893617021
"342",-140,-130,110,120,30.4347826086957
"343",-140,-130,120,130,49.1525423728814
"344",-140,-130,130,140,46.8354430379747
"345",-140,-130,140,150,40.7894736842105
"346",-140,-130,150,160,36.6197183098592
"347",-140,-130,160,170,39.5833333333333
"348",-140,-130,170,180,27.2727272727273
"349",-140,-130,180,190,23.5294117647059
"350",-140,-130,190,200,30
"351",-140,-130,200,210,39.8496240601504
"352",-140,-130,210,220,36.8613138686131
"353",-140,-130,220,230,38.6004514672686
"354",-140,-130,230,240,33.1896551724138
"355",-140,-130,240,250,31.4285714285714
"356",-140,-130,250,260,27.4509803921569
"357",-140,-130,260,270,16.6666666666667
"358",-140,-130,270,280,33.3333333333333
"359",-140,-130,280,290,50
"360",-140,-130,290,300,50
"361",-130,-120,0,10,39.5061728395062
"362",-130,-120,10,20,30.3370786516854
"363",-130,-120,20,30,47.6190476190476
"364",-130,-120,30,40,47.7611940298507
"365",-130,-120,40,50,42.8571428571429
"366",-130,-120,50,60,34.6666666666667
"367",-130,-120,60,70,45.0704225352113
"368",-130,-120,70,80,44.4444444444444
"369",-130,-120,80,90,37.6811594202899
"370",-130,-120,90,100,28.5714285714286
"371",-130,-120,100,110,41.025641025641
"372",-130,-120,110,120,38.5714285714286
"373",-130,-120,120,130,35.3658536585366
"374",-130,-120,130,140,43.8095238095238
"375",-130,-120,140,150,42.0560747663551
"376",-130,-120,150,160,40.2173913043478
"377",-130,-120,160,170,43.5897435897436
"378",-130,-120,170,180,35.8490566037736
"379",-130,-120,180,190,36.1702127659574
"380",-130,-120,190,200,50
"381",-130,-120,200,210,40
"382",-130,-120,210,220,33.3333333333333
"383",-130,-120,220,230,35.4651162790698
"384",-130,-120,230,240,33.8501291989664
"385",-130,-120,240,250,40
"386",-130,-120,250,260,25.7142857142857
"387",-130,-120,260,270,45.4545454545455
"388",-130,-120,270,280,33.3333333333333
"389",-130,-120,280,290,16.6666666666667
"390",-130,-120,290,300,20
"391",-120,-110,0,10,36.9047619047619
"392",-120,-110,10,20,40.2298850574713
"393",-120,-110,20,30,42.0560747663551
"394",-120,-110,30,40,43.5294117647059
"395",-120,-110,40,50,37.9310344827586
"396",-120,-110,50,60,38.2022471910112
"397",-120,-110,60,70,43.75
"398",-120,-110,70,80,32.8571428571429
"399",-120,-110,80,90,50
"400",-120,-110,90,100,40.3508771929825
"401",-120,-110,100,110,40.2777777777778
"402",-120,-110,110,120,42.2222222222222
"403",-120,-110,120,130,28.3783783783784
"404",-120,-110,130,140,47.5247524752475
"405",-120,-110,140,150,35.4838709677419
"406",-120,-110,150,160,47.0588235294118
"407",-120,-110,160,170,38.3720930232558
"408",-120,-110,170,180,47.2527472527473
"409",-120,-110,180,190,48.5714285714286
"410",-120,-110,190,200,37.8378378378378
"411",-120,-110,200,210,33.3333333333333
"412",-120,-110,210,220,28.3422459893048
"413",-120,-110,220,230,36.2132352941176
"414",-120,-110,230,240,35.6502242152466
"415",-120,-110,240,250,38.2075471698113
"416",-120,-110,250,260,34.9514563106796
"417",-120,-110,260,270,26.3157894736842
"418",-120,-110,270,280,31.5789473684211
"419",-120,-110,280,290,25
"420",-120,-110,290,300,50
"421",-110,-100,0,10,38.8888888888889
"422",-110,-100,10,20,44
"423",-110,-100,20,30,45.0980392156863
"424",-110,-100,30,40,40
"425",-110,-100,40,50,40.2597402597403
"426",-110,-100,50,60,42.3529411764706
"427",-110,-100,60,70,40.5405405405405
"428",-110,-100,70,80,40.625
"429",-110,-100,80,90,43.3333333333333
"430",-110,-100,90,100,49.0909090909091
"431",-110,-100,100,110,30.8823529411765
"432",-110,-100,110,120,33.8461538461538
"433",-110,-100,120,130,41.7721518987342
"434",-110,-100,130,140,42.1487603305785
"435",-110,-100,140,150,43.1034482758621
"436",-110,-100,150,160,40.6896551724138
"437",-110,-100,160,170,39.2857142857143
"438",-110,-100,170,180,45.9183673469388
"439",-110,-100,180,190,43.6619718309859
"440",-110,-100,190,200,35.1851851851852
"441",-110,-100,200,210,34.7826086956522
"442",-110,-100,210,220,30.3030303030303
"443",-110,-100,220,230,36.4145658263305
"444",-110,-100,230,240,35.7651245551601
"445",-110,-100,240,250,33.7037037037037
"446",-110,-100,250,260,27.9661016949153
"447",-110,-100,260,270,30.3571428571429
"448",-110,-100,270,280,40
"449",-110,-100,280,290,16.6666666666667
"450",-110,-100,290,300,30
"451",-100,-90,0,10,39.4736842105263
"452",-100,-90,10,20,38.7387387387387
"453",-100,-90,20,30,46.6666666666667
"454",-100,-90,30,40,37.5
"455",-100,-90,40,50,37.7049180327869
"456",-100,-90,50,60,39.3258426966292
"457",-100,-90,60,70,40.2298850574713
"458",-100,-90,70,80,39.7727272727273
"459",-100,-90,80,90,41.6666666666667
"460",-100,-90,90,100,40
"461",-100,-90,100,110,41.8918918918919
"462",-100,-90,110,120,33.3333333333333
"463",-100,-90,120,130,34.3283582089552
"464",-100,-90,130,140,42.156862745098
"465",-100,-90,140,150,32.4324324324324
"466",-100,-90,150,160,33.3333333333333
"467",-100,-90,160,170,42.1487603305785
"468",-100,-90,170,180,38.0952380952381
"469",-100,-90,180,190,35.3658536585366
"470",-100,-90,190,200,36.8421052631579
"471",-100,-90,200,210,42.5
"472",-100,-90,210,220,33.3333333333333
"473",-100,-90,220,230,34.7560975609756
"474",-100,-90,230,240,38.28125
"475",-100,-90,240,250,35.1515151515151
"476",-100,-90,250,260,32.5
"477",-100,-90,260,270,35.5263157894737
"478",-100,-90,270,280,17.3913043478261
"479",-100,-90,280,290,9.09090909090909
"480",-100,-90,290,300,28.5714285714286
"481",-90,-80,0,10,35.3658536585366
"482",-90,-80,10,20,47.8260869565217
"483",-90,-80,20,30,42.3529411764706
"484",-90,-80,30,40,39.5348837209302
"485",-90,-80,40,50,38.3720930232558
"486",-90,-80,50,60,36.7647058823529
"487",-90,-80,60,70,37.5
"488",-90,-80,70,80,38.5714285714286
"489",-90,-80,80,90,37.7049180327869
"490",-90,-80,90,100,44.9275362318841
"491",-90,-80,100,110,41.0714285714286
"492",-90,-80,110,120,41.1764705882353
"493",-90,-80,120,130,31.3432835820896
"494",-90,-80,130,140,44.0476190476191
"495",-90,-80,140,150,36.6412213740458
"496",-90,-80,150,160,42.1768707482993
"497",-90,-80,160,170,39.4366197183099
"498",-90,-80,170,180,44.7619047619048
"499",-90,-80,180,190,34.9056603773585
"500",-90,-80,190,200,32.5301204819277
"501",-90,-80,200,210,32.0754716981132
"502",-90,-80,210,220,44.1176470588235
"503",-90,-80,220,230,22
"504",-90,-80,230,240,35.0574712643678
"505",-90,-80,240,250,36.3431151241535
"506",-90,-80,250,260,32.7510917030568
"507",-90,-80,260,270,37.6623376623377
"508",-90,-80,270,280,32.3529411764706
"509",-90,-80,280,290,38.8888888888889
"510",-90,-80,290,300,20
"511",-80,-70,0,10,33.8983050847458
"512",-80,-70,10,20,37.2549019607843
"513",-80,-70,20,30,46.6666666666667
"514",-80,-70,30,40,37.3493975903614
"515",-80,-70,40,50,44.4444444444444
"516",-80,-70,50,60,30.5882352941176
"517",-80,-70,60,70,46.3414634146341
"518",-80,-70,70,80,52.112676056338
"519",-80,-70,80,90,35.2941176470588
"520",-80,-70,90,100,38.8888888888889
"521",-80,-70,100,110,40.3846153846154
"522",-80,-70,110,120,47.1698113207547
"523",-80,-70,120,130,37.037037037037
"524",-80,-70,130,140,45.7142857142857
"525",-80,-70,140,150,37.3831775700935
"526",-80,-70,150,160,41.2587412587413
"527",-80,-70,160,170,51.2396694214876
"528",-80,-70,170,180,39.6396396396396
"529",-80,-70,180,190,43.2098765432099
"530",-80,-70,190,200,30.1204819277108
"531",-80,-70,200,210,40
"532",-80,-70,210,220,20.8333333333333
"533",-80,-70,220,230,38.8888888888889
"534",-80,-70,230,240,39.1489361702128
"535",-80,-70,240,250,39.2156862745098
"536",-80,-70,250,260,38.5714285714286
"537",-80,-70,260,270,30.3370786516854
"538",-80,-70,270,280,31.4285714285714
"539",-80,-70,280,290,22.2222222222222
"540",-80,-70,290,300,0
"541",-70,-60,0,10,42.5287356321839
